"id","name","category","price","description","unit_shipping_cost"
0,"Black Pudding","Books",2217,"Ports are created with the built-in function open_port.",4.755683
1,"Peanut butter","Home & Garden",3311,"Erlang is a general-purpose, concurrent, functional programming language.",3.0314674
2,"Bi Bim Bap","Beauty & Personal",1348,"I don't even care.",7.718274
3,"White chocolate cookie","Sports & Outdoor",7312,"Tuples are containers for a fixed number of Erlang data types.",8.295712
4,"Funnel Cake","Music Instruments",1061,"Erlang is known for its designs that are well suited for systems.",6.0920672
5,"Fried Green Tomatoes","Books",4771,"It is also a garbage-collected runtime system.",5.2648373
6,"Creamed corn","Electronics",15124,"Ports are created with the built-in function open_port.",8.933924
7,"Gazpacho","Sports & Outdoor",14268,"Ports are used to communicate with the external world.",3.9654686
8,"Chips and dip","Health & Hygine",14989,"Where are my pants?",2.3136334
9,"Clam cake","Office Supply",7775,"In 1989 the building was heavily damaged by fire, but it has since been restored.",9.790078
10,"Ribs","Office Supply",3205,"Ports are used to communicate with the external world.",6.4254885
11,"Shepherd's Pie","Sports & Outdoor",17616,"Make me a sandwich.",7.6949306
12,"Sweet Potato Fries","Health & Hygine",13680,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets.",8.225557
13,"Vegemite on Toast","Video Games",3217,"In 1989 the building was heavily damaged by fire, but it has since been restored.",5.003506
14,"Geoduck","Electronics",12009,"He looked inquisitively at his keyboard and wrote another sentence.",2.4958959
15,"Oreo","Office Supply",19108,"Type classes first appeared in the Haskell programming language.",5.0517597
16,"Soul food","Office Supply",2155,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom.",9.2774
17,"Protein bar","Beauty & Personal",19812,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets.",4.96171
18,"Meatcake","Sports & Outdoor",15205,"Haskell features a type system with type inference and lazy evaluation.",4.1710057
19,"Calas","Home & Garden",12231,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase.",9.155523
20,"Bangers and mash","Home & Garden",6141,"Type classes first appeared in the Haskell programming language.",7.769937
21,"Salmon pasta bake","Beauty & Personal",550,"Ports are created with the built-in function open_port.",3.0792482
22,"Osso Buco","Fashion",13506,"The arguments can be primitive data types or compound data types.",3.7484741
23,"Sour cream","Electronics",8598,"He looked inquisitively at his keyboard and wrote another sentence.",5.808414
24,"Montreal Smoked Meat","Home & Garden",4601,"Ports are created with the built-in function open_port.",7.3489842
25,"French Onion Soup","Office Supply",1316,"In 1989 the building was heavily damaged by fire, but it has since been restored.",2.2140005
26,"Paella","Home & Garden",8934,"Make me a sandwich.",6.039462
27,"Peanut butter","Music Instruments",5729,"Do you have any idea why this is not working?",7.170949
28,"Geoduck","Home & Garden",7498,"The arguments can be primitive data types or compound data types.",2.1698527
29,"Fry sauce","Music Instruments",17670,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s.",5.761499
30,"Pop-Tarts","Home & Garden",2882,"Do you come here often?",9.932101
31,"Slinger","Books",18409,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol.""",8.284564
32,"Buffalo burger","Electronics",3877,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing.",6.5388994
33,"Scampi","Office Supply",11277,"It is also a garbage-collected runtime system.",3.956989
34,"Grits","Health & Hygine",8681,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets.",3.7949815
35,"Mini pizzas","Home & Garden",7160,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol.""",4.9742255
36,"Buffalo burger","Sports & Outdoor",8945,"She spent her earliest years reading classic literature, and writing poetry.",6.622352
37,"Muffuletta","Health & Hygine",6303,"It is also a garbage-collected runtime system.",4.477245
38,"Milkshake","Video Games",12480,"Erlang is a general-purpose, concurrent, functional programming language.",3.3379815
39,"Stuffed peppers","Office Supply",4981,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing.",8.880844
40,"Smelt","Books",8637,"Do you come here often?",4.6010146
41,"Haystack","Books",16140,"It is also a garbage-collected runtime system.",5.6556506
42,"Chicken Salad Wrap","Books",10799,"Ports are used to communicate with the external world.",6.6684227
43,"Greek salad","Home & Garden",14142,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn.",9.312502
44,"Chicken à la King","Sports & Outdoor",3119,"In 1989 the building was heavily damaged by fire, but it has since been restored.",8.369897
45,"Muffuletta","Home & Garden",19935,"Ports are created with the built-in function open_port.",2.1109068
46,"Rice and gravy","Office Supply",13083,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase.",6.703714
47,"Onion ring","Beauty & Personal",15870,"Ports are created with the built-in function open_port.",4.0474043
48,"Pancakes","Health & Hygine",18461,"Its main implementation is the Glasgow Haskell Compiler.",8.294131
49,"Corn relish","Home & Garden",899,"Its main implementation is the Glasgow Haskell Compiler.",4.0077186
50,"Spaghetti Bolognese","Fashion",8223,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing.",7.4661665
51,"Pepperoni Pizza","Office Supply",12248,"It is also a garbage-collected runtime system.",6.6575584
52,"Tin Roof Ice Cream","Beauty & Personal",3223,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom.",7.7339153
53,"Bruschetta","Music Instruments",13047,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase.",2.1602612
54,"Hot Chicken sandwich","Video Games",5400,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s.",8.795111
55,"Buffalo wing","Fashion",3395,"In 1989 the building was heavily damaged by fire, but it has since been restored.",9.392672
56,"Goulash","Fashion",15389,"Its main implementation is the Glasgow Haskell Compiler.",8.716541
57,"Bacon Cheeseburger","Electronics",14669,"Ports are used to communicate with the external world.",7.358801
58,"Soft Shell Crab","Fashion",12643,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing.",5.651873
59,"Churrasco","Books",3312,"Where are my pants?",2.2710876
60,"Toaster Strudel","Home & Garden",12513,"Atoms are used within a program to denote distinguished values.",6.5351686
61,"Funnel Cake","Home & Garden",18230,"I don't even care.",9.187469
62,"Gazpacho","Fashion",4105,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol.""",9.291996
63,"Falafel","Books",11268,"Where are my pants?",4.2925367
64,"Mozzarella sticks","Home & Garden",18576,"Atoms are used within a program to denote distinguished values.",9.580549
65,"Peanut butter","Office Supply",13558,"Atoms are used within a program to denote distinguished values.",2.1543658
66,"Empanada","Sports & Outdoor",18020,"It is also a garbage-collected runtime system.",8.978264
67,"Ratatouille","Books",10750,"Do you have any idea why this is not working?",9.425519
68,"Blue cheese dressing","Health & Hygine",10341,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing.",9.499928
69,"Sloppy joe","Beauty & Personal",6513,"Any element of a tuple can be accessed in constant time.",7.489433
70,"Sweet Potato Fries","Electronics",1871,"Do you have any idea why this is not working?",8.91363
71,"Falafel","Fashion",16229,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing.",6.182676
72,"Hawaiian haystack","Health & Hygine",9056,"Any element of a tuple can be accessed in constant time.",4.983182
73,"Low Country Boil","Beauty & Personal",12762,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase.",5.0994444
74,"Funnel Cake","Sports & Outdoor",17955,"Tuples are containers for a fixed number of Erlang data types.",9.790688
75,"Goulash","Fashion",8271,"Erlang is a general-purpose, concurrent, functional programming language.",2.983666
76,"Chips and dip","Health & Hygine",17075,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s.",4.0372834
77,"Macaroni and Cheese","Office Supply",1948,"Do you come here often?",9.225041
78,"Gyros","Video Games",14413,"Do you have any idea why this is not working?",3.7181897
79,"Milkshake","Beauty & Personal",12289,"Erlang is a general-purpose, concurrent, functional programming language.",6.5444903
80,"Haystack","Music Instruments",15861,"Erlang is a general-purpose, concurrent, functional programming language.",3.8026452
81,"Mozzarella sticks","Electronics",11061,"Erlang is known for its designs that are well suited for systems.",6.0421424
82,"Falafel","Music Instruments",17509,"Ports are used to communicate with the external world.",4.9258666
83,"Kimchi","Fashion",13397,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol.""",9.274421
84,"Key Lime Pie","Office Supply",1708,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom.",7.850555
85,"Buffalo Wings","Music Instruments",7782,"Type classes first appeared in the Haskell programming language.",2.7787485
86,"Patty","Home & Garden",14172,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing.",8.679912
87,"Shepherd's Pie","Home & Garden",6239,"Make me a sandwich.",5.237042
88,"Spaghetti Bolognese","Fashion",10329,"He looked inquisitively at his keyboard and wrote another sentence.",7.880747
89,"Biscuit","Home & Garden",2768,"Where are my pants?",6.205925
90,"Chicken Alfredo","Music Instruments",16816,"It is also a garbage-collected runtime system.",6.3470826
91,"Montreal Smoked Meat","Home & Garden",12673,"Its main implementation is the Glasgow Haskell Compiler.",6.236501
92,"Maraca pie","Books",7519,"I don't even care.",9.478233
93,"New York-Style Pizza","Beauty & Personal",4765,"The arguments can be primitive data types or compound data types.",4.8797665
94,"Potato skins","Office Supply",5843,"The arguments can be primitive data types or compound data types.",9.963224
95,"Bookbinder Soup","Office Supply",13159,"Where are my pants?",5.2711673
96,"Chili dog","Electronics",7889,"She spent her earliest years reading classic literature, and writing poetry.",8.038808
97,"Pistachio Ice Cream","Video Games",7313,"Haskell features a type system with type inference and lazy evaluation.",4.696362
98,"Chicken Manchurian","Video Games",10507,"Erlang is a general-purpose, concurrent, functional programming language.",4.898464
99,"Chicken and waffles","Sports & Outdoor",10749,"Erlang is a general-purpose, concurrent, functional programming language.",8.068221
100,"Parma Ham","Books",1593,"Do you have any idea why this is not working?",2.7968025
101,"Poutine","Fashion",11648,"Erlang is a general-purpose, concurrent, functional programming language.",8.794167
102,"Pocky","Sports & Outdoor",16939,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase.",8.806066
103,"Potatoes O'Brien","Video Games",5120,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn.",6.612631
104,"Chimichanga","Fashion",5805,"Ports are used to communicate with the external world.",6.3446126
105,"Stroganoff","Health & Hygine",11751,"Ports are created with the built-in function open_port.",8.878781
106,"Suckling Pig","Fashion",10680,"The arguments can be primitive data types or compound data types.",4.1798806
107,"Yeung Chow fried rice","Fashion",4446,"Ports are created with the built-in function open_port.",2.2286103
108,"Buffalo wing","Beauty & Personal",10209,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol.""",7.299241
109,"Bao","Books",7128,"Do you come here often?",8.453057
110,"Queso Fresco","Music Instruments",18812,"Where are my pants?",6.4526887
111,"Lobster roll","Office Supply",11602,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol.""",9.372163
112,"Coq Au Vin","Music Instruments",4122,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s.",9.20875
113,"Salad bar","Sports & Outdoor",3606,"Erlang is a general-purpose, concurrent, functional programming language.",2.938844
114,"Chicken fingers","Home & Garden",12385,"Erlang is a general-purpose, concurrent, functional programming language.",4.2457943
115,"Creme Brulee","Home & Garden",19442,"Type classes first appeared in the Haskell programming language.",4.186706
116,"Chicken French","Office Supply",17516,"In 1989 the building was heavily damaged by fire, but it has since been restored.",4.632761
117,"Dirty rice","Video Games",19775,"Erlang is a general-purpose, concurrent, functional programming language.",5.3523316
118,"Chicken Divan","Health & Hygine",9719,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn.",5.8341365
119,"Sloppy joe","Sports & Outdoor",1464,"Ports are created with the built-in function open_port.",5.3915653
120,"Chicken Liver Pate","Books",6678,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing.",4.507264
121,"Banh Mi Viêt","Books",7194,"Make me a sandwich.",3.8591633
122,"Haystack","Video Games",1547,"She spent her earliest years reading classic literature, and writing poetry.",2.4225698
123,"Hoppin' John","Music Instruments",4959,"Type classes first appeared in the Haskell programming language.",8.461383
124,"Brisket","Sports & Outdoor",6890,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing.",3.1490986
125,"Gumbo","Books",9982,"Haskell features a type system with type inference and lazy evaluation.",8.147177
126,"Caviar","Home & Garden",18710,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets.",8.116932
127,"Maine Lobster","Fashion",8118,"Its main implementation is the Glasgow Haskell Compiler.",3.1425283
128,"Meatcake","Video Games",17072,"Do you have any idea why this is not working?",7.5446005
129,"Schnitzel","Health & Hygine",14340,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn.",2.4819853
130,"Carolina style","Music Instruments",17916,"Type classes first appeared in the Haskell programming language.",6.160758
131,"White chocolate cookie","Office Supply",2799,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn.",5.1468196
132,"Ratatouille","Video Games",16079,"Haskell features a type system with type inference and lazy evaluation.",6.8605137
133,"Coleslaw","Health & Hygine",958,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing.",5.102459
134,"Chicken Biryani","Books",14123,"Do you come here often?",8.407535
135,"Naan","Office Supply",681,"Tuples are containers for a fixed number of Erlang data types.",4.721428
136,"Chicken à la King","Video Games",14207,"I don't even care.",9.578828
137,"Kung Pao Chicken","Video Games",17525,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol.""",6.515553
138,"Hawaiian Pizza","Video Games",2015,"Ports are created with the built-in function open_port.",8.663256
139,"Cheesy Garlic Bread","Beauty & Personal",4531,"Its main implementation is the Glasgow Haskell Compiler.",2.8439865
140,"Chips and dip","Beauty & Personal",5250,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase.",2.555489
141,"Tetrazzini","Office Supply",1742,"In 1989 the building was heavily damaged by fire, but it has since been restored.",7.4334307
142,"Milk Steak","Beauty & Personal",10315,"Haskell features a type system with type inference and lazy evaluation.",2.8977745
143,"Matzo Ball Soup","Video Games",4271,"Ports are used to communicate with the external world.",6.83457
144,"Texas Toast","Office Supply",8156,"The arguments can be primitive data types or compound data types.",3.139974
145,"Chocolate Chip Cookie","Books",18302,"Haskell features a type system with type inference and lazy evaluation.",4.277638
146,"Brunswick stew","Health & Hygine",12566,"Where are my pants?",5.1633143
147,"Abalone","Video Games",9419,"Erlang is a general-purpose, concurrent, functional programming language.",6.587615
148,"Hawaiian Pizza","Music Instruments",6222,"Erlang is known for its designs that are well suited for systems.",2.2172453
149,"Macaroni and cheese","Home & Garden",19387,"Type classes first appeared in the Haskell programming language.",8.922627
150,"Chicken nuggets","Books",16253,"Tuples are containers for a fixed number of Erlang data types.",7.240083
151,"Fajitas","Electronics",8547,"I don't even care.",4.4194145
152,"Mango and Sticky Rice","Office Supply",6459,"Ports are created with the built-in function open_port.",7.565459
153,"Frito Pie","Health & Hygine",10547,"Ports are used to communicate with the external world.",5.3264804
154,"Maple bacon donut","Beauty & Personal",5812,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom.",9.147933
155,"Eggo","Electronics",2224,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s.",5.756439
156,"Fry sauce","Music Instruments",19368,"She spent her earliest years reading classic literature, and writing poetry.",8.69463
157,"Carolina style","Fashion",5204,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn.",5.286706
158,"Sweet Potato Fries","Fashion",6611,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets.",7.0109425
159,"Maine Lobster","Health & Hygine",17700,"Do you come here often?",9.463228
160,"Veggie Pizza","Sports & Outdoor",17359,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing.",4.536998
161,"Mashed potato","Electronics",2470,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom.",6.8175454
162,"Popover","Video Games",18617,"Erlang is known for its designs that are well suited for systems.",3.0497634
163,"Chicken à la King","Beauty & Personal",2788,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets.",3.3083105
164,"Sausage gravy","Books",15255,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets.",3.6454759
165,"Hawaiian Pizza","Electronics",17230,"Erlang is a general-purpose, concurrent, functional programming language.",6.3243303
166,"Creme Brulee","Video Games",4858,"She spent her earliest years reading classic literature, and writing poetry.",3.6634593
167,"Kobe Beef","Sports & Outdoor",7856,"Its main implementation is the Glasgow Haskell Compiler.",3.0522923
168,"Chicken Biryani","Office Supply",19909,"Any element of a tuple can be accessed in constant time.",8.871537
169,"Chimichanga","Fashion",16528,"Tuples are containers for a fixed number of Erlang data types.",2.8430037
170,"Ploye","Fashion",2665,"Atoms are used within a program to denote distinguished values.",4.019573
171,"Juba","Books",3711,"Its main implementation is the Glasgow Haskell Compiler.",5.710586
172,"Venison","Office Supply",8842,"It is also a garbage-collected runtime system.",2.1743357
173,"Buffalo burger","Health & Hygine",618,"Its main implementation is the Glasgow Haskell Compiler.",3.4107263
174,"Home fries","Books",6274,"Do you come here often?",2.267098
175,"Frybread","Sports & Outdoor",16894,"Where are my pants?",7.2818284
176,"Funnel Cake","Beauty & Personal",15683,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol.""",6.7074213
177,"Burnt ends","Fashion",6462,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing.",9.783757
178,"Salad bar","Sports & Outdoor",11311,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom.",7.482918
179,"Haystack","Sports & Outdoor",2106,"Atoms are used within a program to denote distinguished values.",9.816751
180,"Kung Pao Chicken","Sports & Outdoor",15863,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets.",9.68696
181,"Patty","Electronics",3771,"Tuples are containers for a fixed number of Erlang data types.",8.211097
182,"Macaroni and cheese","Sports & Outdoor",11235,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom.",8.795831
183,"Bruschetta","Fashion",12339,"The arguments can be primitive data types or compound data types.",6.3549366
184,"Sauteed Morel Mushrooms","Fashion",6236,"He looked inquisitively at his keyboard and wrote another sentence.",7.317897
185,"Bird's Nest Soup","Health & Hygine",12696,"Atoms are used within a program to denote distinguished values.",3.2660797
186,"Popover","Office Supply",18744,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol.""",7.9076533
187,"Eggs Neptune","Office Supply",14152,"Do you come here often?",2.377439
